# 2BIGB_name(J2000)       R.A.(deg)  Dec(deg)    N0(E-13)_2BIGB   N0_err(E-13)_2BIGB   Gamma_2BIGB  Gamma_err_2BIGB   Flux(0.5-500GeV)_2BIGB   Flux_err(0.5-500GeV)_2BIGB   TS_2BIGB   4FGLv20_name       PivotEnergy_2BIGB   5BZCat           sflag_3HSP  log(nu)_3HSP[Hz] log(nufnu)_3HSP[erg/sm2/s]   nuflag_3HSP   z_3HSP   zflag_3HSP   FOM_3HSP   WHSPnames               4FGL_Name_v20       R.A.4FGL_v20     Dec_4FGL_v20    sqrt(TS)_4FGL_v20   Pivot_Energy_4FGL_v20   N0_4FGL_v20      N0_err_4FGL_20   PL_Index_4FGL_v20   PL_Index_err_4FGL_v20   GAL_LONG             GAL_LAT              
  2BIGBJ002200.1-514024   5.50033    -51.67339   2.05664          0.14215              2.07503      0.0618977         1.19959E-9               9.00813E-11                  598.504    0021.9-5140        1691.6196           5BZBJ0022-5140   0            15.7           -11.2             1             0.25     1            2.51       2WHSPJ002200.0-514023   "4FGL J0021.9-5140" 5.4985        -51.6728       0.0287               1691.6196               2.2313355E-13    1.609343E-14     2.042762            0.05549212              313.69819957063595   -64.83513396249751   
  2BIGBJ002201.0+000658   5.50396    0.11611     0.0058297        0.0017581            1.29782      0.207608          8.97685E-11              4.10343E-11                  62.5954    0022.0+0006        18064.906           5BZGJ0022+0006   0            16.3           -11.8             1             0.306    1            0.63       2WHSPJ002200.9+000657   "4FGL J0022.0+0006" 5.5154        0.1134         0.0431               18064.906               8.018653E-16     2.1034999E-16    1.4715182           0.17375848              107.18488676179982   -61.85277782699056   
  2BIGBJ002611.6-073115   6.54842    -7.52097    0.216142         0.0406159            2.0177       0.149299          3.62623E-10              8.50171E-11                  65.4119    0026.1-0732        2877.582            --               0            15.7           -12.1             1             0.5      5            0.32       --                      "4FGL J0026.1-0732" 6.54          -7.5425        0.0487               2877.582                1.8502283E-14    4.50606E-15      2.0678716           0.19296369              104.8016977521931    -69.49926031737802   
  2BIGBJ002635.6-460109   6.64838    -46.01936   0.22382          0.0319285            1.88044      0.106378          3.63136E-10              6.11742E-11                  129.855    0026.6-4600        2976.1826           5BZBJ0026-4601   0            16.4           -11.7             1             0.25     5            0.79       2WHSPJ002635.5-460109   "4FGL J0026.6-4600" 6.6521        -46.0156       0.035                2976.1826               2.4665405E-14    3.9199253E-15    1.9649565           0.12413082              315.92401843092443   -70.47707280625043   
  2BIGBJ002928.1+205333   7.36917    20.89269    0.00946187       0.00240813           1.73186      0.160629          1.87019E-10              6.00491E-11                  50.2146    0029.4+2051        13235.658           --               0            16.4           -12.3             1             0.367    1            0.2        2WHSPJ002928.6+205332   "4FGL J0029.4+2051" 7.3665        20.8662        0.0467               13235.658               7.460372E-16     2.3780553E-16    1.5339124           0.1926541               116.05757548422977   -41.68573804427277   
  2BIGBJ003020.4-164713   7.58508    -16.78694   0.146609         0.0207359            1.72137      0.0942278         3.84615E-10              6.3837E-11                   151.613    0030.2-1647        4143.749            --               0            15.6           -11.7             1             0.237    1            0.79       2WHSPJ003020.4-164712   "4FGL J0030.2-1647" 7.5643        -16.7975       0.0319               4143.749                2.0177185E-14    2.6386622E-15    1.7404137           0.08355035              96.57965767431355    -78.5643851808677    
  2BIGBJ003119.1+072453   7.83212    7.41483     0.114812         0.029497             1.80178      0.164863          2.04174E-10              6.26463E-11                  39.276     0031.3+0726        3216.963            --               0            15.1           -11.9             1             ""       --           0.5        --                      "4FGL J0031.3+0726" 7.83          7.4443         0.065                3216.963                1.9858313E-14    3.7950756E-15    1.9919337           0.15501586              114.1925334349878    -55.115325460282904  
  2BIGBJ003334.4-192132   8.39317    -19.35914   9.64279          0.329582             1.77317      0.024032          4.37461E-9               1.43325E-10                  4634.28    0033.5-1921        1503.9106           5BZBJ0033-1921   0            15.6           -11.2             1             0.506    3            2.51       2WHSPJ003334.3-192132   "4FGL J0033.5-1921" 8.3954        -19.3593       0.0128               1503.9106               1.052462E-12     3.6221558E-14    1.7667189           0.021988718             94.17416723527366    -81.21599032357004   
  2BIGBJ003358.8+390631   8.49508    39.10881    6.97794          1.08724              2.73983      0.177124          7.05877E-10              1.03652E-10                  74.6562    0033.9+3858        791.1438            --               2            16.6           -12.5             1             0.58     5            0.13       2WHSPJ003358.7+390630   "4FGL J0033.9+3858" 8.483         38.9716        0.1447               791.1438                5.3452474E-13    8.5249163E-14    2.5314107           0.13155839              119.23621992425707   -23.63763333092143   
  2BIGBJ003514.1+151504   8.81129    15.25117    1.35133          0.0766468            1.85855      0.0443426         1.89819E-9               1.20797E-10                  1007.94    0035.2+1514        2775.3247           5BZBJ0035+1515   0            15.1           -11.4             1             0.64     3            1.58       2WHSPJ003514.6+151503   "4FGL J0035.2+1514" 8.8123        15.2405        0.021                2775.3247               1.4481962E-13    9.012725E-15     1.8417218           0.042858467             117.1526034643264    -47.438791014206444  
  2BIGBJ003552.6+595004   8.96929    59.83453    2.93207          0.0912892            1.73031      0.0216004         4.89097E-9               1.76689E-10                  4180.86    0035.9+5950        3176.7927           5BZBJ0035+5950   0            18.2           -10.3             1             0.086    2            19.95      --                      "4FGL J0035.9+5950" 8.9823        59.8334        0.0099               3176.7927               3.64751E-13      1.22337655E-14   1.7547414           0.021960577             120.97558099568576   -2.97809792765515    
  2BIGBJ003908.2-222001   9.78421    -22.33372   0.157254         0.0228727            1.74824      0.104738          3.57754E-10              6.21827E-11                  143.634    0039.1-2219        3772.8774           --               0            16.7           -11.9             1             0.064    1            0.5        2WHSPJ003908.2-222000   "4FGL J0039.1-2219" 9.7782        -22.3276       0.0697               3772.8774               1.6233547E-14    2.6258506E-15    1.8083013           0.11062812              92.05032727354266    -84.45186603543306   
  2BIGBJ004013.1+405004   10.05754   40.83458    0.0851773        0.0171175            1.74564      0.144452          2.55573E-10              6.93742E-11                  77.4066    0040.3+4050        4425.906            5BZUJ0040+4050   0            17.5           -11.5             3             0.24     5            1.26       2WHSPJ004013.7+405003   "4FGL J0040.3+4050" 10.0989       40.8362        0.0329               4425.906                1.1302339E-14    2.1700444E-15    1.9973712           0.20269601              120.64598583821153   -21.987417784894845  
  2BIGBJ004123.0+375855   10.34596   37.98214    0.0548954        0.0159577            1.67352      0.193902          1.52653E-10              5.93888E-11                  52.032     0041.4+3800        4382.0073           --               0            15.3           -12.0             1             0.38     1            0.4        --                      "4FGL J0041.4+3800" 10.3697       38.0097        0.0544               4382.0073               8.685695E-15     1.900123E-15     1.9469025           0.18766668              120.74882877402368   -24.846987607796436  
  2BIGBJ004141.2-160747   10.42171   -16.12978   0.0128871        0.00456414           1.88963      0.263301          1.40023E-10              5.7358E-11                   25.3257    0041.7-1607        8115.267            --               0            16.3           -12.5             1             0.43     5            0.13       --                      "4FGL J0041.7-1607" 10.4382       -16.121        0.0533               8115.267                1.4930651E-15    4.9441027E-16    1.6415144           0.19067074              110.81907994729256   -78.771538052955     
  2BIGBJ004208.1+364113   10.53375   36.68694    0.284909         0.0612807            2.02952      0.167824          3.07148E-10              8.18136E-11                  53.509     0042.0+3640        2303.6409           5BZBJ0042+3641   0            16.3           -11.8             1             0.33     5            0.63       2WHSPJ004208.0+364112   "4FGL J0042.0+3640" 10.5053       36.6724        0.0537               2303.6409               3.326351E-14     7.09902E-15      2.1686711           0.16490938              120.85438441065195   -26.147279184067585  
  2BIGBJ004334.1-044300   10.89217   -4.71678    0.121302         0.0222573            1.97221      0.1552            3.83235E-10              9.5555E-11                   71.6406    0043.5-0442        4035.9543           --               0            16.5           -11.8             1             0.48     3            0.63       2WHSPJ004334.0-044300   "4FGL J0043.5-0442" 10.8766       -4.7007        0.0587               4035.9543               1.2282866E-14    2.5754577E-15    1.9474424           0.16024956              117.80046740855765   -67.51009093411527   
  2BIGBJ004348.7-111607   10.95271   -11.26861   0.268673         0.044822             1.91292      0.127232          3.88426E-10              7.74473E-11                  90.0511    0043.7-1116        2769.7268           --               0            15.7           -11.6             1             0.264    1            1.0        2WHSPJ004348.6-111606   "4FGL J0043.7-1116" 10.9283       -11.2822       0.0727               2769.7268               3.212186E-14     5.3379512E-15    1.9280754           0.11687321              116.11650456710468   -74.03934543027982   
  2BIGBJ004519.3+212740   11.33033   21.46114    3.05602          0.148506             1.82612      0.0362676         2.37867E-9               1.22597E-10                  1811.07    0045.3+2128        2028.3022           5BZBJ0045+2127   0            15.8           -11.3             1             0.35     3            2.0        2WHSPJ004519.2+212739   "4FGL J0045.3+2128" 11.3396       21.4668        0.0144               2028.3022               3.8742162E-13    1.8611225E-14    1.7999823           0.032420658             121.03492068588221   -41.38807826518772   
  2BIGBJ004755.2+394857   11.98008   39.816      1.35512          0.093001             1.9527       0.0563068         1.28031E-9               9.96396E-11                  639.763    0047.9+3947        2198.1775           5BZBJ0047+3948   0            16.1           -11.9             1             0.252    1            0.5        2WHSPJ004755.2+394856   "4FGL J0047.9+3947" 11.9763       39.7975        0.0232               2198.1775               1.542393E-13     1.1255918E-14    1.9829094           0.054473385             122.19784458170147   -23.05073499068109   
  2BIGBJ004752.0+544746   11.96687   54.79611    0.0043619        0.00190648           1.25863      0.298841          7.18908E-11              5.36381E-11                  44.8033    0047.9+5448        19779.031           --               0            16.5           -12.0             1             0.26     5            0.4        --                      "4FGL J0047.9+5448" 11.9872       54.8017        0.0386               19779.031               5.5208914E-16    1.493426E-16     1.528509            0.16754158              122.412203386237     -8.0720357481777     
  2BIGBJ004859.2+422351   12.24646   42.39753    0.0465715        0.0112056            1.81111      0.155846          1.82519E-10              5.54783E-11                  39.3485    0049.1+4223        4959.9478           --               0            16.3           -12.1             1             0.37     5            0.32       2WHSPJ004859.0+422351   "4FGL J0049.1+4223" 12.2772       42.3901        0.0538               4959.9478               6.6825474E-15    1.4813156E-15    1.8451384           0.14944786              122.44869648740591   -20.47191806602418   
  2BIGBJ004938.9-415137   12.41204   -41.86047   0.084757         0.0244517            1.91967      0.224451          1.65215E-10              6.39755E-11                  33.0578    0049.5-4150        3229.095            --               0            16.3           -12.0             1             0.38     5            0.4        2WHSPJ004938.8-415137   "4FGL J0049.5-4150" 12.3973       -41.846        0.0633               3229.095                1.27311E-14      3.0820298E-15    2.0535927           0.18079917              304.24204063926345   -75.26322813879479   
  2BIGBJ005116.6-624204   12.81925   -62.70119   2.51533          0.0942288            1.74139      0.0275814         2.77548E-9               1.12213E-10                  3546.45    0051.2-6242        2497.1724           5BZBJ0051-6242   0            15.8           -11.4             1             0.3      3            1.58       2WHSPJ005116.6-624203   "4FGL J0051.2-6242" 12.8243       -62.7037       0.0143               2497.1724               2.07231E-13      1.0024754E-14    1.7114966           0.030741079             302.9636354180297    -54.42705134883993   
